metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags
http_reqs,1656374708,1.000000,,,,true,::setup,POST,http://localhost:8080/api/login,HTTP/1.1,,,200,,,http://localhost:8080/api/login,
http_req_duration,1656374708,106.058711,,,,true,::setup,POST,http://localhost:8080/api/login,HTTP/1.1,,,200,,,http://localhost:8080/api/login,
http_req_blocked,1656374708,0.287992,,,,true,::setup,POST,http://localhost:8080/api/login,HTTP/1.1,,,200,,,http://localhost:8080/api/login,
http_req_connecting,1656374708,0.161143,,,,true,::setup,POST,http://localhost:8080/api/login,HTTP/1.1,,,200,,,http://localhost:8080/api/login,
http_req_tls_handshaking,1656374708,0.000000,,,,true,::setup,POST,http://localhost:8080/api/login,HTTP/1.1,,,200,,,http://localhost:8080/api/login,
http_req_sending,1656374708,0.091282,,,,true,::setup,POST,http://localhost:8080/api/login,HTTP/1.1,,,200,,,http://localhost:8080/api/login,
http_req_waiting,1656374708,105.723830,,,,true,::setup,POST,http://localhost:8080/api/login,HTTP/1.1,,,200,,,http://localhost:8080/api/login,
http_req_receiving,1656374708,0.243599,,,,true,::setup,POST,http://localhost:8080/api/login,HTTP/1.1,,,200,,,http://localhost:8080/api/login,
http_req_failed,1656374708,0.000000,,,,true,::setup,POST,http://localhost:8080/api/login,HTTP/1.1,,,200,,,http://localhost:8080/api/login,
data_sent,1656374708,186.000000,,,,,::setup,,,,,,,,,,
data_received,1656374708,396.000000,,,,,::setup,,,,,,,,,,
iteration_duration,1656374708,106.803984,,,,,::setup,,,,,,,,,,
http_reqs,1656374708,1.000000,,,,true,,POST,http://localhost:8080/api/postRoar,HTTP/1.1,test,,200,,,http://localhost:8080/api/postRoar,
http_req_duration,1656374708,4.741850,,,,true,,POST,http://localhost:8080/api/postRoar,HTTP/1.1,test,,200,,,http://localhost:8080/api/postRoar,
http_req_blocked,1656374708,0.538034,,,,true,,POST,http://localhost:8080/api/postRoar,HTTP/1.1,test,,200,,,http://localhost:8080/api/postRoar,
http_req_connecting,1656374708,0.459575,,,,true,,POST,http://localhost:8080/api/postRoar,HTTP/1.1,test,,200,,,http://localhost:8080/api/postRoar,
http_req_tls_handshaking,1656374708,0.000000,,,,true,,POST,http://localhost:8080/api/postRoar,HTTP/1.1,test,,200,,,http://localhost:8080/api/postRoar,
http_req_sending,1656374708,0.123363,,,,true,,POST,http://localhost:8080/api/postRoar,HTTP/1.1,test,,200,,,http://localhost:8080/api/postRoar,
http_req_waiting,1656374708,4.417208,,,,true,,POST,http://localhost:8080/api/postRoar,HTTP/1.1,test,,200,,,http://localhost:8080/api/postRoar,
http_req_receiving,1656374708,0.201279,,,,true,,POST,http://localhost:8080/api/postRoar,HTTP/1.1,test,,200,,,http://localhost:8080/api/postRoar,
http_req_failed,1656374708,0.000000,,,,true,,POST,http://localhost:8080/api/postRoar,HTTP/1.1,test,,200,,,http://localhost:8080/api/postRoar,
data_sent,1656374708,303.000000,,,,,,,,,test,,,,,,
data_received,1656374708,251.000000,,,,,,,,,test,,,,,,
iteration_duration,1656374708,6.382920,,,,,,,,,test,,,,,,
iterations,1656374708,1.000000,,,,,,,,,test,,,,,,
http_reqs,1656374709,1.000000,,,,true,,GET,http://localhost:8080/api/getRoars?upTo=0&limit=200,HTTP/1.1,test,,200,,,http://localhost:8080/api/getRoars?upTo=0&limit=200,
http_req_duration,1656374709,13.040197,,,,true,,GET,http://localhost:8080/api/getRoars?upTo=0&limit=200,HTTP/1.1,test,,200,,,http://localhost:8080/api/getRoars?upTo=0&limit=200,
http_req_blocked,1656374709,0.759260,,,,true,,GET,http://localhost:8080/api/getRoars?upTo=0&limit=200,HTTP/1.1,test,,200,,,http://localhost:8080/api/getRoars?upTo=0&limit=200,
http_req_connecting,1656374709,0.545057,,,,true,,GET,http://localhost:8080/api/getRoars?upTo=0&limit=200,HTTP/1.1,test,,200,,,http://localhost:8080/api/getRoars?upTo=0&limit=200,
http_req_tls_handshaking,1656374709,0.000000,,,,true,,GET,http://localhost:8080/api/getRoars?upTo=0&limit=200,HTTP/1.1,test,,200,,,http://localhost:8080/api/getRoars?upTo=0&limit=200,
http_req_sending,1656374709,0.192442,,,,true,,GET,http://localhost:8080/api/getRoars?upTo=0&limit=200,HTTP/1.1,test,,200,,,http://localhost:8080/api/getRoars?upTo=0&limit=200,
http_req_waiting,1656374709,2.594316,,,,true,,GET,http://localhost:8080/api/getRoars?upTo=0&limit=200,HTTP/1.1,test,,200,,,http://localhost:8080/api/getRoars?upTo=0&limit=200,
http_req_receiving,1656374709,10.253439,,,,true,,GET,http://localhost:8080/api/getRoars?upTo=0&limit=200,HTTP/1.1,test,,200,,,http://localhost:8080/api/getRoars?upTo=0&limit=200,
http_req_failed,1656374709,0.000000,,,,true,,GET,http://localhost:8080/api/getRoars?upTo=0&limit=200,HTTP/1.1,test,,200,,,http://localhost:8080/api/getRoars?upTo=0&limit=200,
data_sent,1656374709,211.000000,,,,,,,,,test,,,,,,
data_received,1656374709,44089.000000,,,,,,,,,test,,,,,,
iteration_duration,1656374709,14.681709,,,,,,,,,test,,,,,,
iterations,1656374709,1.000000,,,,,,,,,test,,,,,,
http_reqs,1656374709,1.000000,,,,true,,GET,http://localhost:8080/api/getRoars?upTo=0&limit=200,HTTP/1.1,test,,200,,,http://localhost:8080/api/getRoars?upTo=0&limit=200,
